Id,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
32614314,HUAWEI,Machine Learning Engineer,False,,,Нет опыта,Полный день,"['deep learning', 'machine vision', 'image recognition', 'face recognition']","Кто нам нужен: Специалист в области deep learning (machine vision, image recognition, face recognition) с опытом работы в релевантной области от 2 лет, или PhD студент с профильным образованием и хорошей математической подготовкой. Чем мы занимаемся:    обучение нейронных сетей для распознавания образов, оптимизиция архитектуры сетей для решаемых задач, поиск лучших функций потерь для обучения сетей исследование новых подходов к unsupervised learning, для очистки шумных данных сжатие, ускорение и оптимизация сетей для различных аппаратных архитектур. transfer learning и distillation нейронных сетей алгоритмы ансамблирования нейронных сетей metric learning признаков для распознавания баесовские нейронные сети для распознавания обучения сетей по данным с шумной разметкой оптимизация алгоритмов под данные заказчика (domain adaptation).  Текущие задачи  алгоритмы распознавания лиц алогоритмы детектирования лиц треккер лиц выравнивание лиц после детектирования построение вектора признаков по серии изображения лица классификация образов и анализ поведения (action recognition) портирование и оптимизация алгоритмов для новых тензорных процессоров  Мы также обеспечим сотрудничество со специалистами из научных лабораторий, участие в конференциях и международных проектах. Требования:  Высшее образование: предпочтительно - МФТИ, Сколтех, МГУ (ВМК, мехмат, физфак), ШАД, ВШЭ Знание Python (от 2-х лет) Навык работы с фреймворками MXnet/TensorFlow/Caffe (хотя бы один из списка) Английский язык: уверенный письменный, свободное чтение профессиональной литературы  Что мы предлагаем:  Сплоченная команда с опытом побед в международных рейтингах Мощные сервера для реализации Ваших новых идей ( 5 серверов по 8*V100) Возможность видеть результаты своей работы в реальных проектах Офис в районе м. Октябрьское Поле "
32728825,Хидбук Клауд,Machine Learning Engineer / инженер машинного обучения,False,,,От 1 года до 3 лет,Полный день,"['tensorflow', 'Python']","Привет!Мы в компании Heedbook, помимо прочего, делаем проект по видеонаблюдению за коровами на фермах - отслеживаем, узнаем их и анализируем поведение. Сейчас у нас есть ряд готовых моделек, из которых мы собираем прод, и для ускорения этого процесса мы ищем в команду Machine Learning Engineer. Для бэка и фронта у нас есть отдельные команды, но модели нужно оборачивать и выкатывать самим. Упор в большей степени на python-разработку, по ML достаточно общих знаний. Стек: Flask, sqlalchemy, PostgreSQL, RabbitMQ, ELK Требования  Опыт разработки на Python от 1 года; Git, Docker, Linux, SQL Знание основ ML в объеме mlcourse/Coursera  Будет плюсом  Знание научного стека Python - numpy/pandas/scipy/matplotlib/jupyter Опыт работы в анализе данных, участие в kaggle Знание Keras + TF и теории Deep Learning(либо интерес к теме), мы занимаемся Object Detection, ReID, Object tracking, Pose Estimation Опыт работы с Tensorflow Serving  Условия работы  Очень хорошая заработная плата по результатам собеседования Комфортный график работы, возможна частичная удаленная работа Классные и умные ребята в ML-команде Оплата 50% фитнес-центра в здании офиса Оплата 50% курсов английского при необходимости Настольный футбол в офисе, за счет компании катаемся на лыжах, играем в футбол Пиццы и напитки по пятницам, угощения и чай, конечно же, всегда Новый брендированный офис Возможность оформить парковку Свободный дресс-код "
33080773,ОНСЕК,Machine Learning Engineer,False,,,Нет опыта,Полный день,"['Python', 'НТТР', 'REST API', 'JSON', 'C++', 'SQL']","Что такое Валарм? Компания Валарм - разработчик уникального WAF (Web application firewall) с командой профессионалов своего дела, где CEO опытный &quot;белый хакер” с более чем 10 летним опытом в области информационной безопасности, CTO - мэйнтейнер операционной системы на ядре Linux Debian (их менее 100 в мире), а COO бывший главный редактор журнала Хакер. Мы успешно прошли Y-Combinator (www.ycombinator.com), а также получили инвестиции от профильных венчурных фондов таких, например, как Runa Capital (создатели Acronis, Parallels и инвесторы Lingualeo, NGINX, MariaDB). Продукт используется сотнями компаний в мире для защиты своих веб-приложений и API. Система обеспечивает безопасность web-приложений и полностью основана на технологии собственной разработки. Здесь можно посмотреть, как это работает - https://wallarm.com/how-it-works.html На данный момент открыто несколько позиций Machine Learning Engineer в нашу R&amp;D команду: рассматриваем как senior специалиста, так и jounior. Чем предстоит заниматься:  Анализировать данные трафика и ставить новые эксперименты; Непрерывно самообразовываться, делиться знаниями, участвовать и проводить хакатоны; Самостоятельно искать и придумывать варианты решения поставленных продуктовых целей (например, &quot;защита сайта от ботов&quot;); Заниматься сбором, организацией хранения и валидации данных; Разрабатывать ML и DL модели в основном для классификации, кластеризации и поиска аномалий в трафике; Готовить код к запуску в продуктовой среде реального решения и оптимизировать производительность.  Что надо знать и/или уметь:  Высшее/неоконченное высшее математическое образование;  Опыт программирования на Python и программированием/алгоритмами в целом; Наличие опыта самостоятельного решения хотя бы одной из задач от 0 до полноценного проекта, который не стыдно выложить на гитхаб; Поиска аномалий в последовательностях (time-series) или других видах данных; Кластеризации текстовых или любых других не графических данных; Классификации текстовых или любых других не графических данных (последовательностей) генеративных моделей; Быть в курсе последних статей, непрерывно изучать их и оценивать применимость к текущим задачам; Понимать как работают web-приложения (протокол НТТР, REST API, JSON); Английский, достаточный для чтения статей. Умение писать простые скрипты.  Желательно:  Опыт разработки C++ / python; Опыт разработки Web-приложений; Опыт командной работы; Знать SQL; Близка тема ИБ (OWASP TOP 10).  Условия:  Гибкий график работы; Уютный офис в центре Москвы; Дружная команда крутых специалистов; Премии по результатам работы; Оплата фитнеса, парковки и ДМС; Обучение за счет компании; Фрукты, сладости, чай и кофе. Оформление по ТК РФ (все белое и пушистое). Техника на выбор. "
32000237,НТехЛаб,Senior Machine Learning Engineer,False,,,От 3 до 6 лет,Полный день,[],"NtechLab – молодая компания, мы разрабатываем передовые продукты на базе собственной технологии распознавания лиц, лучшей в мире. Например, недавно мы получили первое место в соревновании, которое организовала IARPA, и мы постоянно в лидерах тестирования FRVT NIST. Создаем крутые продукты и сервисы, которые меняют рынок, предоставляем нашим клиентам функционал, который полтора года назад работал только в боевиках с Джейсоном Борном. Работаем с тысячами камер по всему миру, ищем в базах размером более миллиарда лиц за миллисекунды. Если вы энергичный и целеустремленный профессионал, предпочитаете динамичную стартап-культуру бюрократии, то нам нужно срочно познакомиться! Пожелания к кандидату:  Высшее образование; Хорошая математическая подготовка; Знание алгоритмов машинного обучения и нейронных сетей; Большой практический опыт применения машинного обучения; Опыт работы хотя бы с одной из библиотек: pytorch, mxnet, tensorflow, caffe; Хорошее знание Python; Базовое знание C++.  Будет плюсом:  Опыт разработки на CUDA; Участие в kaggle соревнованиях; Опыт продакшн-разработки; Интерес к области распознавания лиц; Умение самостоятельно продумывать и делать эксперименты от момента постановки задачи до получения желаемого результата.  Примеры задач, которыми занимается лаборатория:  Участие в создании алгоритмов распознавания лиц для соревнования NIST FRVT; Улучшение точности и скорости работы алгоритмов распознавания лиц; Улучшение точности и скорости работы алгоритмов детектирования объектов; Разработка алгоритмов распознавания объектов на видео.  Что мы предлагаем:  Высокая белая заработная плата; Работа в команде экспертов по нейронным сетям; Участие в международных соревнованиях по распознаванию лиц; Интересные и сложные задачи по машинному обучению; Топовые сервера для обучения нейронных сетей, включая nvidia dgx-1; Премии по результатам работы в каждом полугодии; Удобное расположение рядом с метро Белорусская; Большая веранда с настольным теннисом; ДМС после испытательного срока, бесплатные фрукты, смузи, чай, кофе. "
32799001,Citibank,Lead Data Scientist,True,261000.0,,От 3 до 6 лет,Полный день,"['Data Mining', 'Big Data', 'Data Analysis', 'Python', 'SQL', 'Machine learning', 'Data science']","What is Citi? Citi is one of the largest consumer banks in the world with more than 210 years of history. It has huge loads of data, both internal and from partnerships that support our philosophy of the data-driven business. What is the opportunity? As Lead Data Scientist, you will collaborate, innovate and build in a flexible, fast-pace environment. You will tackle real business challenges using your skills in data, analytics and Machine Learning. Your deliverables will have direct impact on the business performance and our customers’ satisfaction. Your work and attitude will be a model for the rest of the team; you will share your experience and develop Data Science expertise of your colleagues within the team and beyond. Skills  Advanced analytics, statistical analysis, and hypothesis testing beyond simple A/B tests. Machine Learning techniques (including linear models, time series forecasting, and ensemble models). Scientific Python: Anaconda, pandas, numpy, scikit-learn, Jupyter. Sound knowledge of SQL. General programming skills, base data structures and algorithms. Experience with XGboost would be a plus. Knowledge of R would be a plus.  Experience:  High degree in Computer Science, Mathematics, Physics, Engineering or related fields. 3 years of experience in data-driven decision-making and quantitative analysis. Proven record of accomplishment of successful projects in Machine Learning. A self-starter and have demonstrated success in using analytics to drive innovation in business problem solving. Experience of public presentation, tuition or active coaching would be a great plus. Experience with distributed, scalable computing (Hadoop) would be a great plus.  Responsibilities:  Be a part of a dynamic, collaborative, progressive and high-performing team. Be a Data Science champion, mentor and technology leader within the team and beyond. Engage with the team to support its development through cross coaching and various learning opportunities. Predictive model development using Machine Learning. Analysis and insights regarding the performance of models, campaigns and other business activities. Design, create and deliver a fully functional product in production that solves a real business need. Own Data Science and cross-functional projects and initiatives. Data mining and deep-dive analytics to find and utilize opportunities in the customer and product portfolio. "
31934468,Samsung Research Center,Machine Learning Engineer,False,,,От 3 до 6 лет,Полный день,"['Machine Learning', 'Deep Learning', 'Python', 'С/С++', 'Tensorflow', 'Pytorch']","Responsibilities:   Develop and prototype applications using machine learning, including using the latest research results   Collect and prepare data for training models   Conduct research and maintain documentation on possible improvements to existing solutions   Reporting on the results of testing solutions and improvements made   Present the results of the work, including verbally and in writing in English   Requirements:   Good knowledge of Python, at least basic knowledge of C / C ++   A good understanding of the mathematics of machine learning algorithms   Experience with neural networks and deep learning frameworks (Tensorflow, Pytorch)   Knowledge of the latest machine learning trends   Knowledge of basic OOP, algorithms and data structures   Experience using Linux OS   Will be a plus:   Android programming experience   Participation in open-source projects   The presence of serious scientific publications   Ph.D. in Mathematics, Computer Science, Physics - a big plus   Conditions:  Competitive salary Comfortable office class A in 15 min walking distance from underground stations Savelovskaya and Marina Roscha Full compliance with the Labour Code Flexible work schedule Corporate lunches Medical and Life insurance Corporate sports (Badminton, swimming, voleyball, table tennis, football, yoga)   "
33014092,Генотек,Data scientist,False,,,От 1 года до 3 лет,Полный день,[],"Genotek – молодая компания, знающая толк в технологиях будущего. Мы даём возможность людям узнать всё про свои гены и получить персональные рекомендации, как заботиться о здоровье и будущем.   Обязанности:  работать с генетическими данными микрочипового генотипирования и NGS; выстраивать пайплайн статистического анализа для генетических тестов по генеалогии, фармакогенетике, генетике предрасположенностей и тд.; участвовать в научно-исследовательской работе (GWAS, разработка алгоритмов оценки рисков, определения степени родства по генетическим данным и тд.).    Требования:  высшее образование по профилю биоинформатики / математики/ статистики / IT; навыки работы в bash / Linux / Git; владение одним или несколькими языками программирования (R, Python, C++, Java, Perl); уверенные знания в области математической статистики; знание английского языка на уровне не ниже чтения профессиональной литературы и деловой переписки.    Будет преимуществом:    опыт реальной работы в биоинформатике; опыт работы с генетическими данными; приветствуются знания в области машинного обучения (будет необходимость освоить): linear discriminant analysis, Bayes Inference, support vector machines, concept of kernels, bias/variance tradeoff, regularization, classification trees, random forests, ensemble learning, Bayesian networks, cross-validation methods, unsupervised learning and clustering methods, expectation maximization (EM), feature selection (filters and wrappers), pre-processing and normalization techniques; знакомство с облачными платформами (Яндекс.Облако, Google Cloud, Amazon, Microsoft Azure).  Условия:  наукоемкая работа с полной занятостью в Москве; справедливая зарплата по итогам собеседования и вашей квалификации; возможность публикации результатов исследований на конференциях и в рецензируемых журналах; хорошие перспективы карьерного роста, адекватные руководители и отсутствие бюрократии. "
33013367,АЙКЬЮВИА СОЛЮШНС,Machine Learning Analyst,False,,,От 1 года до 3 лет,Полный день,"['Latex', 'SQL', 'MATLAB', 'Английский язык', 'Data Analysis']","IQVIA is the world’s largest provider of biopharmaceutical development and commercial outsourcing services. We bring a fully integrated approach to build biopharma and life sciences solutions – from pipeline through portfolio to population health ™. A career with IQVIA connects you to great opportunity to achieve professional success and impact healthcare around the world. We consider our employees as main value for the company and always focused to maintain our unique environment where employees can feel appreciated for the work they do and the contribution they make.   Responsibilities:  Statistical analysis of big data in SQL and Vertical (database) using such tools as Linux, Git and Latex =&gt; mathematical statistics, probability theory, liner algebra; Support of consulting projects where econometrics is applied (e.g. Promo Mix Modeling); Support of all PST (Profiling | Segmentation | Targeting) projects with advanced analytics; Support of projects in Russia &amp; Kazakhstan with LRx data analysis  Skills and Experience:  Master’s degree (preferably: Statistics, Mathematics) Knowledge of supervised machine learning methods, such as regularised regression, ensemble tree-based models (e.g. xgboost), support vector machines, deep learning methods; Appetite for applying new and existing technologies to challenging problems in health care, i.e. motivated by solving the problem; A proactive, innovative and pragmatic approach to problem solving and an ability to think critically and independently, able to work as part of a cross-functional team Very good English knowledge;  We offer  Regular employment Competitive salary, bonus plan and benefits package Stable position in a Global company – word’s leader advisor on the healthcare industry       "
32984434,BOSCH,Machine Learning Research Engineer,False,,,От 3 до 6 лет,Полный день,"['MATLAB', 'C++', 'Python', 'Математическое моделирование', 'Big Data', 'neural network', 'machine learning', 'Research And Development']","Do you have deep experience in machine learning and mathematics? Then we can offer you exciting challenges: make car braking systems more durable, coffee machines automated, engines less noisy and pollutant, and electrical machines more efficient. Machine Learning Research Engineer in Research and Technology office At Research and Technology Office (RTO-RU) in Bosch Russia, we are looking for a skilled senior machine learning engineer who will solve tasks on intersection of cutting-edge machine learning methods with traditional mathematical approaches and supervise Master’s and PhD students. At RTO-RU, we solve various research tasks: from data analysis of braking events of thousands of cars to the combination of neural networks with iterative methods for fluid dynamics. We have very close collaborations with Bosch Corporate Research and Business units in Germany as well as with leading Russian professors in Moscow and Saint Petersburg. That leads to various interdisciplinary topics where smart mathematical solutions can solve the tasks that were previously solved by standard engineering approaches. You will have a possibility to lead the full machine learning pipeline, starting from task formulation and ending with application of state-of-the-art mathematical algorithms and transfer of results to make sure that the research work is beneficial for Bosch’s business. As a member of RTO-RU, you will be able to patent and publish selected research results in international journals. We also encourage supervising Master’s and PhD students because they are flexible and can generate unordinary ideas and solutions. Responsibilities:  Working on joint projects with local and international partners, e.g. our Corporate Sector Research and Advance Engineering in Germany or Bosch Business Units worldwide Run a full-scale ML project pipeline: intro to industry, task formulation, consulting with data recording and collection, supporting the hiring process of interns and juniors, leading data processing and task solution with advanced ML methods, clarifying KPIs, transferring the results, publishing/patenting Supervising Master’s and PhD students  Requirements:  Required working experience: 3-4 years or PhD; Deep knowledge in applied mathematics; Broad experience in machine learning and statistics, especially deep learning – both theory and practice; Experience in application domains, such as image recognition and multivariate time series analysis; Excellent programming skills in Python, good knowledge in C++ is desirable; Broad experience with standard frameworks and libraries for data science in Python (PyTorch, Keras, numpy, scikit-learn) Fluent English; Experience in international project teams or companies; Result orientation, leadership, strong soft-skills  Conditions:  Full-time employment Modern Class A office in Khimki Corporate transport from Rechnoy vokzal, Planernaya metro stations and Khimki railway station Regular business trips to Saint Petersburg and Germany (Stuttgart area) Health and accident insurance Mobile and lunch compensation Underground parking for company employees Corporate gym Discounts on the company&#39;s products "
32717834,Ton Labs,Senior Data Scientist,False,,,Более 6 лет,Полный день,"['Data Analysis', 'Data Mining', 'Analytical skills', 'Анализ данных', 'Big Data', 'Статистический анализ', 'Математическая статистика', 'MATLAB']","TVS is looking to implement an innovative new architecture and a set of products on top of new blockchain networks. The products will include mobile and web applications, as well as development tools and solutions. You will be part of a growing team and must have an adaptive and ambitious mindset, ready and willing to take on new and bigger challenges daily. You must be passionate about building innovative solutions for a groundbreaking new market. At TVS we do not have any offices. The team is a decentralized international group of talented individuals. You are expected to work remotely at all times. You will be asked to join our international gatherings (symposiums) in different locations around the world from time to time (international travel passport and the ability to travel abroad are musts). The team will also from time to time participate in international conferences; therefore, public speaking and writing in English are a huge plus (although not necessarily a requirement).   Responsibilities:   Lead data mining and collection procedures   Ensure data quality and integrity   Interpret and analyze data problems   Build analytic systems and predictive models   Test performance of data-driven products   Visualize data and create reports   Experiment with new models and techniques   Align data projects with organizational goals     We are looking for all candidates to have the following skills:   Excellent understanding of data structures, machine learning techniques and algorithms   Excellent communication skills   A business mindset   Good applied statistics, scripting and programming skills (R, Python and MATLAB)     We are looking for all candidates to have:   Proven experience as a Data Scientist or similar role   Solid understanding of machine learning   Knowledge of data management and visualization techniques   Experience with common data science toolkits   Experience with data visualisation tools   Experience with NoSQL and SQL databases  "
